,team name,total matches,points,rating
0,England,54,"6,745",125
1,India,58,"7,071",122
2,New Zealand,43,"4,837",112
3,Australia,50,"5,543",111
4,South Africa,47,"5,193",110
5,Pakistan,51,"5,019",98
6,Bangladesh,46,"3,963",86
7,Sri Lanka,56,"4,520",81
8,West Indies,49,"3,740",76
9,Afghanistan,40,"2,359",59
10,Ireland,29,"1,466",51
11,Zimbabwe,35,"1,538",44
12,Netherlands,6,222,37
13,Scotland,15,534,36
14,Namibia,8,183,23
15,Oman,8,174,22
16,Nepal,8,152,19
17,United States,8,115,14
18,UAE,15,144,10
19,Papua New Guinea,17,0,0
